scenario,variant,n_features,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,delta_balanced_accuracy,delta_recall,delta_brier,notes
drop_scared_sr,feature_ablation,899,0.05,0.8904109589041096,0.9848484848484849,0.9636363636363636,0.9742424242424242,0.935251798561151,0.9854338842975207,0.9448957904840258,0.015667047148811414,-0.023484848484848553,-0.015151515151515138,0.012163480682853837,dropped 49 features
drop_top15_importance,feature_ablation,933,0.05,0.9027777777777778,0.9848484848484849,0.9681818181818181,0.9765151515151516,0.9420289855072463,0.9899449035812672,0.9734230416048598,0.010806184363334196,-0.021212121212121238,-0.015151515151515138,0.007302617897376618,dropped 15 features
drop_all_scared,feature_ablation,850,0.05,0.9285714285714286,0.9848484848484849,0.9772727272727273,0.9810606060606061,0.9558823529411765,0.9900137741046833,0.9734230416048598,0.01040917283040652,-0.01666666666666672,-0.015151515151515138,0.006905606364448943,dropped 98 features
drop_scared_p,feature_ablation,899,0.12,0.9850746268656716,1.0,0.9954545454545455,0.9977272727272728,0.9924812030075187,1.0,1.0,0.0005278832787478968,0.0,0.0,-0.0029756831872096816,dropped 49 features
baseline_calibrated,model,948,0.05,0.9850746268656716,1.0,0.9954545454545455,0.9977272727272728,0.9924812030075187,0.9977272727272728,0.9850746268656716,0.003503566465957578,0.0,0.0,0.0,baseline with isotonic calibration
site_stress_CUNY,slice_stress,948,0.05,0.875,1.0,0.9761904761904762,0.9880952380952381,0.9333333333333333,0.988095238095238,0.875,0.02040816326530612,-0.009632034632034658,0.0,0.016904596799348543,site subset n=49
release_stress_11.0,slice_stress,948,0.05,0.9850746268656716,1.0,0.9954545454545455,0.9977272727272728,0.9924812030075187,0.9977272727272728,0.9850746268656716,0.003503566465957578,0.0,0.0,0.0,release subset n=286
site_stress_CBIC,slice_stress,948,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002272727272727204,0.0,-0.003503566465957578,site subset n=84
site_stress_RUBIC,slice_stress,948,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002272727272727204,0.0,-0.003503566465957578,site subset n=67
site_stress_Staten Island,slice_stress,948,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.348847981241193e-05,0.002272727272727204,0.0,-0.0034800779861451662,site subset n=86
source_dropout_selfreport,stress,948,0.16999999999999998,0.9558823529411765,0.9848484848484849,0.9863636363636363,0.9856060606060606,0.9701492537313433,0.987568870523416,0.958507947653131,0.011942437983012475,-0.0121212121212122,-0.015151515151515138,0.008438871517054898,self-report cols neutralized: 178
missingness_stress_40,stress,948,0.05,0.9565217391304348,1.0,0.9863636363636363,0.9931818181818182,0.9777777777777777,0.9975206611570248,0.9839705395188848,0.0075,-0.00454545454545463,0.0,0.003996433534042422,random mask 40% cells
missingness_stress_20,stress,948,0.16999999999999998,0.9705882352941176,1.0,0.990909090909091,0.9954545454545455,0.9850746268656716,0.9975895316804408,0.9844063838716246,0.006842431556545366,-0.002272727272727315,0.0,0.0033388650905877876,random mask 20% cells
