domain,mode,ablation_case,delta_ba,delta_pr_auc,removed_features
adhd,caregiver_1_3,drop_top3,0.006476683937823746,0.03309518161578606,eng_adhd_core_mean|eng_externalizing_index|eng_conduct_core_mean
adhd,caregiver_2_3,drop_top3,-0.06901113438430162,-0.06303961565807359,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12
adhd,caregiver_full,drop_top3,-0.02733987432477125,-0.07672834860164723,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12
adhd,psychologist_1_3,drop_top3,-0.02733987432477114,0.030000986032829968,eng_adhd_core_mean|eng_externalizing_index|eng_conduct_core_mean
adhd,psychologist_2_3,drop_top3,-0.056664094366662976,-0.0534904337944474,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12
adhd,psychologist_full,drop_top3,-0.08312203726160294,-0.2188779667889108,eng_adhd_core_mean|eng_externalizing_index|adhd_not_better_explained_other_mental
anxiety,caregiver_1_3,drop_top3,-0.03680203045685282,-0.025439396861543617,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean
anxiety,caregiver_2_3,drop_top3,-0.03541494510683507,-0.029375878399393374,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,caregiver_full,drop_top3,-0.029069767441860406,-0.030758514575022322,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,psychologist_1_3,drop_top3,-0.021986778420493458,0.04830831785939693,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean
anxiety,psychologist_2_3,drop_top3,-0.04249793412820213,-0.03250635785660971,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,psychologist_full,drop_top3,-0.038690827529217375,-0.03573137859973963,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
conduct,caregiver_1_3,drop_top3,0.0078125,-0.000923336185205681,conduct_09_property_destruction|conduct_03_weapon_use|conduct_05_physical_cruelty_animals
conduct,caregiver_2_3,drop_top3,-0.010937499999999933,-0.0010009443589709122,eng_externalizing_index|conduct_09_property_destruction|eng_adhd_core_mean
conduct,caregiver_full,drop_top3,0.0015625000000001332,-0.004035999325709416,eng_externalizing_index|conduct_09_property_destruction|eng_adhd_core_mean
conduct,psychologist_1_3,drop_top3,-0.0078125,-0.01349287052464232,conduct_09_property_destruction|conduct_03_weapon_use|conduct_15_truancy_before_13
conduct,psychologist_2_3,drop_top3,-0.009375000000000022,0.011212651051108136,eng_externalizing_index|conduct_09_property_destruction|eng_adhd_core_mean
conduct,psychologist_full,drop_top3,0.0,0.015637933530851078,eng_externalizing_index|eng_adhd_core_mean|conduct_03_weapon_use
depression,caregiver_1_3,drop_top3,0.0010724353474691473,-0.07495668653666898,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change
depression,caregiver_2_3,drop_top3,-0.056318176247089013,-0.09014448343707449,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child
depression,caregiver_full,drop_top3,-0.049148179924010216,-0.09602011267967303,mdd_impairment|pdd_duration_months_child|mdd_duration_weeks
depression,psychologist_1_3,drop_top3,-0.021877681088368628,-0.0034824874338685863,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change
depression,psychologist_2_3,drop_top3,-0.05757445765412439,-0.08363100211096308,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child
elimination,caregiver_1_3,drop_top3,-0.4402408339324228,-0.8141132470903206,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|mdd_06_fatigue_or_low_energy
elimination,caregiver_2_3,drop_top3,-0.007009345794392496,-0.005898763819322972,eng_elimination_intensity|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive
elimination,caregiver_full,drop_top3,-0.004672897196261627,-0.004127636289440018,eng_elimination_intensity|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive
elimination,psychologist_1_3,drop_top3,-0.4367361610352265,-0.8150829369891963,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|social_anxiety_almost_always_triggered
elimination,psychologist_2_3,drop_top3,-0.015186915887850372,-0.0413846187315674,eng_elimination_intensity|enuresis_duration_months_consecutive|enuresis_distress_impairment
elimination,psychologist_full,drop_top3,-0.015186915887850372,-0.04112153041474931,eng_elimination_intensity|enuresis_duration_months_consecutive|enuresis_distress_impairment
