disorder,strategy,precision_val,recall_val,balanced_accuracy_val,threshold
adhd,class_weight_none,0.9823008849557522,0.6894409937888198,0.83672049689441,0.93
adhd,class_weight_balanced_subsample,0.9814814814814815,0.6583850931677019,0.821192546583851,0.93
adhd,undersample_majority_train_only,0.9813084112149533,0.6521739130434783,0.8180869565217391,0.93
adhd,oversample_minority_train_only,0.9789473684210527,0.577639751552795,0.7808198757763976,0.97
adhd,class_weight_balanced,0.9741379310344828,0.7018633540372671,0.8389316770186335,0.92
anxiety,undersample_majority_train_only,0.9620253164556962,0.608,0.7946832298136646,0.84
anxiety,oversample_minority_train_only,0.96,0.576,0.7786832298136646,0.79
anxiety,class_weight_balanced_subsample,0.9354838709677419,0.696,0.8293664596273291,0.67
anxiety,class_weight_none,0.9347826086956522,0.688,0.8253664596273291,0.71
anxiety,class_weight_balanced,0.9325842696629213,0.664,0.8133664596273292,0.7
conduct,oversample_minority_train_only,0.8666666666666667,0.6190476190476191,0.8013270882123341,0.76
conduct,class_weight_balanced,0.8205128205128205,0.7619047619047619,0.8666081186572989,0.54
conduct,class_weight_balanced_subsample,0.8048780487804879,0.7857142857142857,0.876463700234192,0.47
conduct,undersample_majority_train_only,0.8048780487804879,0.7857142857142857,0.876463700234192,0.91
conduct,class_weight_none,0.7948717948717948,0.7380952380952381,0.8526541764246682,0.57
depression,undersample_majority_train_only,0.5483870967741935,0.5666666666666667,0.7559895833333333,0.8099999999999999
depression,class_weight_none,0.5405405405405406,0.6666666666666666,0.8001302083333333,0.492405
depression,class_weight_balanced_subsample,0.5405405405405406,0.6666666666666666,0.8001302083333333,0.492405
depression,class_weight_balanced,0.5128205128205128,0.6666666666666666,0.7962239583333333,0.4599999999999999
depression,oversample_minority_train_only,0.5,0.6333333333333333,0.7795572916666667,0.514035
elimination,class_weight_balanced,0.1827956989247312,0.5,0.5992063492063492,0.15
elimination,class_weight_none,0.17647058823529413,0.5294117647058824,0.5980392156862745,0.15
elimination,oversample_minority_train_only,0.17346938775510204,0.5,0.5892857142857143,0.19
elimination,class_weight_balanced_subsample,0.16666666666666666,0.47058823529411764,0.5765639589169,0.13999999999999999
elimination,undersample_majority_train_only,0.16556291390728478,0.7352941176470589,0.6176470588235294,0.43
